Wines,Points
2001 Chateau Cheval Blanc,93
2001 Chateau Pichon Longueville Comtesse de Lalande,92
2001 Chateau Cos d'Estournel,92
2001 Chateau Leoville-Las Cases 'Grand Vin de Leoville',93
2001 Chateau Montrose,93
2001 Chateau Palmer,91
2001 Chateau Ducru-Beaucaillou,91
2001 Chateau Leoville Poyferre,91
2001 Chateau Pichon-Longueville au Baron de Pichon-Longueville,92
2001 Chateau La Mission Haut-Brion,93
2001 Chateau Angelus,93
2001 Chateau Leoville Barton,92
2001 Chateau Figeac,92
2001 Chateau Pavie,93
2001 Chateau Talbot,90
2001 Chateau Smith Haut Lafitte,91
2001 Chateau Calon-Segur,88
2001 Chateau Lafleur,93
2001 Chateau Lascombes,90
2001 Chateau Pape Clement,92
2001 Chateau Ausone,95
2001 Vieux Chateau Certan,93
2001 Chateau Canon,90
2001 Chateau Gruaud-Larose,91
2001 Chateau Branaire-Ducru,90
2001 Chateau Rauzan-Segla,91
2001 Chateau Giscours,91
2001 Chateau Beychevelle,89
2001 Chateau Grand-Puy-Lacoste,89
2001 Chateau Lafite Rothschild 'Carruades de Lafite',88
2001 Chateau Duhart-Milon,90
2001 Chateau Troplong Mondot,90
2001 Le Pin,94
2001 Chateau La Fleur-Petrus,90
2001 Domaine de Chevalier,91
2001 Chateau La Conseillante,93
2001 Chateau Lagrange,90
2001 Baron Philippe de Rothschild Chateau d'Armailhac,88
2001 Chateau Latour 'Les Forts de Latour',90
2001 Chateau Brane-Cantenac,90
2001 Chateau Cantemerle,88
2002 Chateau Mouton Rothschild,93
2002 Chateau Lafite Rothschild,93
2002 Petrus,92
2002 Chateau Margaux,92
2002 Chateau Latour,95
2002 Chateau Haut-Brion,92
2002 Chateau d'Yquem,95
2002 Chateau Pontet-Canet,90
2002 Chateau Lynch-Bages,90
2002 Chateau Cheval Blanc,91
2002 Chateau Pichon Longueville Comtesse de Lalande,91
2002 Chateau Cos d'Estournel,92
2002 Chateau Leoville-Las Cases 'Grand Vin de Leoville',92
2002 Chateau Montrose,90
2002 Chateau Palmer,90
2002 Chateau Ducru-Beaucaillou,89
2002 Chateau Leoville Poyferre,90
2002 Chateau Pichon-Longueville au Baron de Pichon-Longueville,91
2002 Chateau La Mission Haut-Brion,91
2002 Chateau Angelus,90
2002 Chateau Leoville Barton,91
2002 Chateau Figeac,89
2002 Chateau Pavie,92
2002 Chateau Talbot,87
2002 Chateau Smith Haut Lafitte,90
2002 Chateau Calon-Segur,89
2002 Chateau Lafleur,91
2002 Chateau Lascombes,88
2002 Chateau Pape Clement,90
2002 Chateau Ausone,93
2002 Vieux Chateau Certan,91
2002 Chateau Canon,88
2002 Chateau Gruaud-Larose,89
2002 Chateau Branaire-Ducru,88
2002 Chateau Rauzan-Segla,90
2002 Chateau Giscours,88
2002 Chateau Beychevelle,88
2002 Chateau Grand-Puy-Lacoste,88
2002 Chateau Lafite Rothschild 'Carruades de Lafite',88
2002 Chateau Duhart-Milon,89
2002 Chateau Troplong Mondot,90
2002 Le Pin,91
2002 Chateau La Fleur-Petrus,90
2002 Domaine de Chevalier,90
2002 Chateau La Conseillante,89
2002 Chateau Lagrange,89
2002 Baron Philippe de Rothschild Chateau d'Armailhac,87
2002 Chateau Latour 'Les Forts de Latour',90
2002 Chateau Brane-Cantenac,88
2002 Chateau Cantemerle,86
2003 Chateau Mouton Rothschild,93
2003 Chateau Lafite Rothschild,95
2003 Petrus,94
2003 Chateau Margaux,96
2003 Chateau Latour,97
2003 Chateau Haut-Brion,94
2003 Chateau d'Yquem,95
2003 Chateau Pontet-Canet,93
2003 Chateau Lynch-Bages,93
2003 Chateau Cheval Blanc,93
2003 Chateau Pichon Longueville Comtesse de Lalande,93
2003 Chateau Cos d'Estournel,94
2003 Chateau Leoville-Las Cases 'Grand Vin de Leoville',94
2003 Chateau Montrose,95
