Wines,Points
2016 Chateau Branaire-Ducru,93
2016 Chateau Rauzan-Segla,94
2016 Chateau Giscours,93
2016 Chateau Beychevelle,93
2016 Chateau Grand-Puy-Lacoste,94
2016 Chateau Duhart-Milon,93
2016 Chateau La Fleur-Petrus,95
2016 Domaine de Chevalier,95
2016 Baron Philippe de Rothschild Chateau d'Armailhac,92
2016 Chateau Latour 'Les Forts de Latour',94
2016 Chateau Cantemerle,91
2016 Chateau Clinet,94
2016 Chateau Haut-Bailly,96
2016 Chateau Rieussec,93
2016 Chateau d'Issan,93
2016 Chateau Batailley Grand Cru,92
2016 Chateau Sociando-Mallet,92
2016 Chateau Gloria,92
2016 Chateau Phelan Segur,93
2016 Chateau Gazin Pomerol,93
2016 Chateau Canon la Gaffeliere,94
2016 Chateau La Lagune,92
2016 Chateau Les Carmes Haut-Brion,95
2016 Chateau Lafon-Rochet,93
2016 Chateau Chasse-Spleen,90
2016 Chateau Cantenac Brown,93
2016 Chateau d'Yquem 'Y' Ygrec,92
2016 Chateau Leoville-Las Cases 'Clos du Marquis',93
2016 Le Clarence de Haut-Brion - Chateau Bahans Haut-Brion,93
2016 Chateau Langoa-Barton,93
2016 Chateau Kirwan,92
2017 Chateau Mouton Rothschild,95
2017 Petrus,96
2017 Chateau Haut-Brion,95
2017 Chateau Lynch-Bages,93
2017 Chateau Cheval Blanc,95
2017 Chateau Pichon Longueville Comtesse de Lalande,95
2017 Chateau Leoville-Las Cases 'Grand Vin de Leoville',95
2017 Chateau Montrose,94
2017 Chateau Palmer,95
2017 Chateau Ducru-Beaucaillou,95
2017 Chateau Leoville Poyferre,94
2017 Chateau Pichon-Longueville au Baron de Pichon-Longueville,94
2017 Chateau La Mission Haut-Brion,95
2017 Chateau Leoville Barton,94
2017 Chateau Figeac,95
2017 Chateau Talbot,91
2017 Chateau Calon-Segur,94
2017 Chateau Lafleur,97
2017 Chateau Ausone,95
2017 Vieux Chateau Certan,96
2017 Chateau Canon,94
2017 Chateau Gruaud-Larose,92
2017 Chateau Rauzan-Segla,93
2017 Chateau Giscours,92
2017 Chateau Beychevelle,93
2017 Chateau Grand-Puy-Lacoste,92
2017 Chateau Duhart-Milon,91
2017 Chateau Troplong Mondot,93
2017 Chateau La Fleur-Petrus,94
2017 Domaine de Chevalier,93
2017 Chateau La Conseillante,94
2017 Baron Philippe de Rothschild Chateau d'Armailhac,91
2017 Chateau Brane-Cantenac,92
2017 Chateau Clinet,92
2017 Chateau Haut-Bailly,94
2017 Chateau Trotanoy,95
2017 Chateau Clerc-Milon,92
2017 Chateau d'Issan,91
2017 Chateau Sociando-Mallet,90
2017 Chateau Gloria,90
2017 Chateau Phelan Segur,91
2017 Chateau Gazin Pomerol,91
2017 Chateau Canon la Gaffeliere,93
2017 Chateau Les Carmes Haut-Brion,94
2017 Chateau Lafon-Rochet,91
2017 Chateau Pichon Longueville Comtesse de Lalande 'Pichon Comtesse Reserve',91
2017 Chateau Chasse-Spleen,88
2017 Chateau Leoville-Las Cases 'Clos du Marquis',92
2017 Le Clarence de Haut-Brion - Chateau Bahans Haut-Brion,91
2017 Chateau Latour Le Pauillac de Latour,90
2017 Chateau Mouton Rothschild,95
2017 Petrus,96
2017 Chateau Haut-Brion,95
2017 Chateau Lynch-Bages,93
2017 Chateau Cheval Blanc,95
2017 Chateau Pichon Longueville Comtesse de Lalande,95
2017 Chateau Leoville-Las Cases 'Grand Vin de Leoville',95
2017 Chateau Montrose,94
2017 Chateau Palmer,95
2017 Chateau Ducru-Beaucaillou,95
2017 Chateau Leoville Poyferre,94
2017 Chateau Pichon-Longueville au Baron de Pichon-Longueville,94
2017 Chateau La Mission Haut-Brion,95
2017 Chateau Leoville Barton,94
2017 Chateau Figeac,95
2017 Chateau Talbot,91
2017 Chateau Calon-Segur,94
2017 Chateau Lafleur,97
2017 Chateau Ausone,95
2017 Vieux Chateau Certan,96
2017 Chateau Canon,94
2017 Chateau Gruaud-Larose,92
2017 Chateau Rauzan-Segla,93
2017 Chateau Giscours,92
2017 Chateau Beychevelle,93
2017 Chateau Grand-Puy-Lacoste,92
2017 Chateau Duhart-Milon,91
2017 Chateau Troplong Mondot,93
2017 Chateau La Fleur-Petrus,94
2017 Domaine de Chevalier,93
2017 Chateau La Conseillante,94
2017 Baron Philippe de Rothschild Chateau d'Armailhac,91
2017 Chateau Brane-Cantenac,92
2017 Chateau Clinet,92
2017 Chateau Haut-Bailly,94
2017 Chateau Trotanoy,95
2017 Chateau Clerc-Milon,92
2017 Chateau d'Issan,91
2017 Chateau Sociando-Mallet,90
2017 Chateau Gloria,90
2017 Chateau Phelan Segur,91
2017 Chateau Gazin Pomerol,91
2017 Chateau Canon la Gaffeliere,93
2017 Chateau Les Carmes Haut-Brion,94
2017 Chateau Lafon-Rochet,91
2017 Chateau Pichon Longueville Comtesse de Lalande 'Pichon Comtesse Reserve',91
2017 Chateau Chasse-Spleen,88
2017 Chateau Leoville-Las Cases 'Clos du Marquis',92
2017 Le Clarence de Haut-Brion - Chateau Bahans Haut-Brion,91
2017 Chateau Latour Le Pauillac de Latour,90
Chateau Mouton Rothschild,96
Chateau Lafite Rothschild,95
Petrus,96
Chateau Margaux,96
Chateau Latour,96
Chateau Haut-Brion,96
Chateau d'Yquem,96
Chateau Pontet-Canet,95
Chateau Lynch-Bages,93
Chateau Cheval Blanc,95
Chateau Pichon Longueville Comtesse de Lalande,94
2018 Chateau Margaux,97
2018 Chateau d'Yquem,96
2018 Chateau Lynch-Bages,95
2018 Chateau Pichon Longueville Comtesse de Lalande,96
2018 Chateau Cos d'Estournel,96
2018 Chateau Leoville-Las Cases 'Grand Vin de Leoville',97
2018 Chateau Montrose,96
2018 Chateau Palmer,96
2018 Chateau Ducru-Beaucaillou,96
2018 Chateau Leoville Poyferre,95
2018 Chateau Pichon-Longueville au Baron de Pichon-Longueville,96
2018 Chateau La Mission Haut-Brion,96
2018 Chateau Angelus,96
2018 Chateau Leoville Barton,95
2018 Chateau Figeac,97
2018 Chateau Talbot,93
2018 Chateau Smith Haut Lafitte,95
2018 Chateau Calon-Segur,95
2018 Chateau Pape Clement,94
2018 Chateau Ausone,97
2018 Vieux Chateau Certan,97
2018 Chateau Canon,96
2018 Chateau Gruaud-Larose,93
2018 Chateau Branaire-Ducru,93
2018 Chateau Rauzan-Segla,95
2018 Chateau Giscours,93
2018 Chateau Beychevelle,94
2018 Chateau Grand-Puy-Lacoste,93
2018 Chateau Duhart-Milon,93
2018 Chateau Troplong Mondot,94
2018 Chateau La Fleur-Petrus,94
2018 Domaine de Chevalier,94
2018 Chateau La Conseillante,95
2018 Chateau Lagrange,93
2018 Baron Philippe de Rothschild Chateau d'Armailhac,92
2018 Chateau Brane-Cantenac,94
2018 Chateau Cantemerle,90
2018 Chateau Clinet,94
2018 Chateau Haut-Bailly,95
2018 Chateau Trotanoy,96
2018 Pavillon Rouge du Chateau Margaux,93
2018 Chateau Clerc-Milon,94
2018 Chateau d'Issan,93
2018 Chateau Sociando-Mallet,91
2018 Chateau Gloria,92
2018 Chateau Phelan Segur,92
2018 Chateau Gazin Pomerol,94
2018 Chateau Canon la Gaffeliere,94
2018 Chateau Les Carmes Haut-Brion,96
2018 Chateau Lafon-Rochet,92
2019 Chateau Mouton Rothschild,98
2019 Chateau Haut-Brion,97
2019 Chateau Lynch-Bages,95
2019 Chateau Pichon Longueville Comtesse de Lalande,97
2019 Chateau Montrose,96
2019 Chateau Pichon-Longueville au Baron de Pichon-Longueville,96
2019 Chateau Talbot,93
2019 Chateau Branaire-Ducru,93
2019 Chateau Rauzan-Segla,95
2019 Chateau Grand-Puy-Lacoste,94
2019 Chateau Lagrange,93
2019 Chateau Cantemerle,90
2019 Chateau Haut-Bailly,95
2019 Chateau Palmer Alter Ego de Palmer,93
2019 Chateau Pichon Longueville Comtesse de Lalande 'Pichon Comtesse Reserve',91
2019 Chateau Chasse-Spleen,90
2019 Chateau d'Yquem 'Y' Ygrec,94
2019 Chateau Langoa-Barton,92
2019 Le Petit Mouton de Mouton Rothschild,93
2019 Chateau Haut-Batailley,93
2019 Chateau Montrose La Dame de Montrose,92
2019 Domaine de Chevalier Blanc,94
2019 Chateau Laroque,93
2019 Chateau Potensac,91
2019 Echo de Lynch Bages Chateau Haut-Bages Averous,92
2019 Chateau le Puy Cuvee Emilien,0
2019 Chateau Calon-Segur Marquis de Calon,91
2019 Chateau Carbonnieux Blanc,91
2019 Chateau La Pointe,90
2019 Chateau Latour-Martillac Blanc,91
2019 Chateau La Grave a Pomerol Trigant de Boisset,91
2019 Chateau Puygueraud,90
2019 Chateau du Glana,91
2019 Chateau Siaurac,89
2019 Chateau Martet Reserve de Famille,90
2019 Chateau de la Dauphine,91
2019 Chateau Guiraud 'Le G de Chateau Guiraud' Blanc Sec,88
2019 Chateau Picque Caillou,88
2019 Chateau Coutet,90
2019 Cap Royal Bordeaux Superieur,88
2019 Chateau Peybonhomme Les Tours,92
2019 Chateau Climens 'Asphodele' Grand Vin Blanc Sec,91
2019 Dourthe No. 1,89
2019 Chateau Brown Blanc,88
2019 Domaine de Chevalier L'Esprit de Chevalier Blanc,90
2019 Clarendelle Blanc,0
2019 Chateau Bourdieu No. 1,89
2019 Chateau Rocher-Gardat,88
2019 Chateau Jean Faux,89
2019 Chateau Haut Selve,90
2020 Chateau Carbonnieux,91
2020 Chateau Guiraud 'Le G de Chateau Guiraud' Blanc Sec,88
2020 Chateau Brane-Cantenac Blanc,92
2020 Vignobles Andre Lurton Chateau Bonnet Blanc,87
2020 Chateau Les Charmes-Godard Blanc,90
2020 Grand Bateau Blanc,0
2020 Chateau Dudon,0
2020 Chateau Latour-Martillac 'Lagrave-Martillac' Blanc,0
2020 Chateau Couronneau,0
2020 Chateau de Cranne,0
2020 Chateau Pontet Bayard,89
2020 Chateau Couronneau Blanc,90
2020 Dourthe Le Cardinal,0
2020 Chateau des Annereaux 'Les Annereaux',0
2020 Les Oiseaux de Chantegrive La Purete,0
2020 Chateau Ferran Saint Pierre,0
2020 Chateau Ferran Saint Pierre Tucaou Blanc,0
2021 Vignobles Andre Lurton Chateau Bonnet Blanc,0
2021 Chateau Haut Peyruguet,0
2021 Dourthe No. 1 Blanc,88
2021 Domaine de Chevalier Le Rose de Chevalier,0
2021 Chateau Lamothe-Vincent Blanc,0
2021 Chateau de l'Aubrade Entre-deux-Mers Blanc,86
2021 Chateau Montfollet Le Valentin Blanc,0
2021 Vignobles Andre Lurton Chateau Bonnet Rose,89
