Wines,Points,Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Fritz Haag Brauneberger Juffer Sonnenuhr Riesling Spatlese,92,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Chateau Ste. Michelle & Dr. Loosen 'Eroica' Riesling,88,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Forstmeister Geltz-Zilliken Saarburger Rausch Riesling Spatlese,92,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Weingut Wittmann Brunnenhauschen Riesling Grosses Gewachs,93,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Peter Jakob Kuhn Doosberg Riesling Grosses Gewachs,90,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Weingut Emmerich Knoll 'Vinothekfullung' Loibner Riesling Smaragd,93,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Forstmeister Geltz-Zilliken Saarburger Rausch Riesling Auslese,93,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Hugel & Fils Riesling Schoelhammer,92,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Weingut Willi Schaefer Graacher Domprobst Riesling Spatlese,92,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Maximin Grunhauser Abtsberg Riesling Auslese,91,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Weingut Emmerich Knoll Ried Kellerberg Riesling Smaragd,92,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Familie Saahs Nikolaihof Steiner Hund Reserve Riesling,92,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Selbach-Oster Zeltinger Sonnenuhr Riesling Auslese,91,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Valentin Zusslin Riesling Pfingstberg,92,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Pewsey Vale The Contours Riesling,92,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Weingut Emrich-Schonleber Monzinger Halenberg Riesling Spatlese,91,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Weingut Robert Weil Kiedricher Grafenberg Riesling Spatlese,93,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Weiser-Kuenstler Enkircher Ellergrub Riesling Spatlese,89,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Joh. Jos. Prum Bernkasteler Badstube Riesling Auslese,93,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Weingut Hirsch Ried Gaisberg Riesling Erste OTW Lage,90,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Familie Saahs Nikolaihof Riesling vom Stein Smaragd,91,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Forstmeister Geltz-Zilliken Rausch Riesling Auslese Goldkapsel,96,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Weingut St. Urbans-Hof Nik Weis Riesling,88,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Weingut Leitz Rudesheimer Drachenstein - Dragonstone Riesling,89,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Weingut S.A. Prum Wehlener Sonnenuhr Riesling Spatlese,89,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Weingut Max Ferd. Richter Brauneberger Juffer Sonnenuhr Riesling Auslese,92,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Domaine Ostertag Fronholz Riesling,92,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Weingut Rudolf Furst R Burgstadt Centgrafenberg Riesling Grosses Gewachs,91,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Schloss Lieser-Thomas Haag Brauneberger Juffer Sonnenuhr Riesling Spatlese,91,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Schmitt Sohne Piesporter Michelsberg Riesling Spatlese,87,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Melanie Pfister Riesling Engelberg,90,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Weingut Keller Westhofener Brunnenhauschen Abts Erde Riesling Grosses Gewachs,95,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Auslese,94,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Weingut Keller Dalsheimer Hubacker Riesling Grosses Gewachs,93,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
F E Trimbach Riesling Cuvee Frederic Emile,93,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Weingut Keller Westhofener Kirchspiel Riesling Grosses Gewachs,92,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Auslese Goldkapsel,96,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Spatlese,92,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Domaine Zind-Humbrecht Riesling Brand,93,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Pewsey Vale Dry Riesling,90,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Fritz Haag Brauneberger Juffer Sonnenuhr Riesling Auslese Goldkapsel,93,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Weingut Clemens Busch Pundericher Marienburg Rothenpfad Riesling Grosses Gewachs,91,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Hugel & Fils Riesling 'Grossi Laue',93,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Forstmeister Geltz-Zilliken Saarburger Rausch Riesling Auslese,93,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Hugel & Fils Riesling Schoelhammer,94,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Pegasus Bay Riesling,92,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Albert Boxler Riesling Brand,92,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Familie Saahs Nikolaihof Steiner Hund Reserve Riesling,91,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Selbach-Oster Zeltinger Sonnenuhr Riesling Auslese,92,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Weingut Robert Weil Kiedricher Grafenberg Riesling Beerenauslese,94,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Weingut Hermann Ludes Thornicher Ritsch Riesling Spatlese,90,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Joh. Jos. Prum Bernkasteler Badstube Riesling Auslese,91,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Weingut Hirsch Ried Gaisberg Riesling Erste OTW Lage,92,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Familie Saahs Nikolaihof Riesling vom Stein Smaragd,90,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Egon Muller 'Le Gallais' Wiltinger Braune Kupp Riesling Auslese Goldkapsel,96,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Schloss Lieser-Thomas Haag Brauneberger Juffer Sonnenuhr Riesling Auslese Lange Goldkapsel,91,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Weingut Keller Westhofener Brunnenhauschen Abts Erde Riesling Trockenbeerenauslese,96,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Weingut Max Ferd. Richter Brauneberger Juffer Sonnenuhr Riesling Auslese,90,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Hugel & Fils Riesling Selection de Grains Nobles,95,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Weingut Max Ferd. Richter Mulheimer Helenenkloster Riesling Eiswein,92,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Marc Kreydenweiss Riesling Wiebelsberg 'La Dame',90,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Selbach-Oster 'Anrecht' Zeltinger Himmelreich Riesling Spatlese,91,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
F.X. Pichler M Riesling Reserve,93,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Maximin Grunhauser Abtsberg Riesling Beerenauslese,94,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Weingut S.A. Prum Wehlener Sonnenuhr Alte Reben Riesling Grosses Gewachs,92,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Selbach-Oster Zeltinger Sonnenuhr Rotlay Riesling,93,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Domaine Ostertag Riesling Clos Mathis,91,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Hogue Cellars Late Harvest Riesling,86,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Von Othegraven Kanzemer Altenberg Riesling Kabinett,91,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Weingut Immich-Batterieberg Enkircher Batterieberg Riesling Trocken,92,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Schlossgut Diel Dorsheimer Pittermannchen Riesling Auslese,94,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Selbach-Oster Zeltinger Himmelreich Riesling Eiswein,89,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Selbach-Oster 'Schmitt' Zeltinger Schlossberg Riesling,91,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Weingut Clemens Busch Pundericher Marienberg Rothenpfad Riesling Auslese,91,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
F.X. Pichler Loibner Oberhauser Riesling Smaragd,91,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Emile Beyer Riesling Pfersigberg,91,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Joh. Jos. Prum Bernkasteler Badstube Riesling Auslese Gold Goldkapsel,93,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Meulenhof Erdener Treppchen Riesling Auslese,90,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Weingut Karthauserhof Eitelsbacher Karthauserhofberg Riesling Beerenauslese,92,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Fritz Haag Brauneberger Juffer Sonnenuhr Riesling Auslese Fuder 6,92,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
Weingut St. Urbans-Hof Nik Weis Piesporter Goldtropfchen Riesling Auslese,92,2010,8.6,3.8,13.5,10.8,9.5,6.0,13.2,66.1,16.1,11.6,20.6,37.1,19.4,14.5,24.3,101.9,15.8,12.1,19.6,75.5,11.8,8.5,15.5,73.9
F E Trimbach Riesling Clos Sainte Hune,94,2011,12.1,7.2,16.8,15.7,13.8,8.2,19.2,19.6,15.4,11.2,19.8,101.9,14.7,10.8,18.9,34.3,16.8,12.8,21.7,79.2,15.2,11.0,19.5,30.3
Weingut Keller G-Max Riesling Trocken,95,2011,12.1,7.2,16.8,15.7,13.8,8.2,19.2,19.6,15.4,11.2,19.8,101.9,14.7,10.8,18.9,34.3,16.8,12.8,21.7,79.2,15.2,11.0,19.5,30.3
Weingut Keller Westhofener Brunnenhauschen Abts Erde Riesling Grosses Gewachs,94,2011,12.1,7.2,16.8,15.7,13.8,8.2,19.2,19.6,15.4,11.2,19.8,101.9,14.7,10.8,18.9,34.3,16.8,12.8,21.7,79.2,15.2,11.0,19.5,30.3
Egon Muller Scharzhofberger Riesling Spatlese,92,2011,12.1,7.2,16.8,15.7,13.8,8.2,19.2,19.6,15.4,11.2,19.8,101.9,14.7,10.8,18.9,34.3,16.8,12.8,21.7,79.2,15.2,11.0,19.5,30.3
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Auslese,92,2011,12.1,7.2,16.8,15.7,13.8,8.2,19.2,19.6,15.4,11.2,19.8,101.9,14.7,10.8,18.9,34.3,16.8,12.8,21.7,79.2,15.2,11.0,19.5,30.3
Weingut Keller Dalsheimer Hubacker Riesling Grosses Gewachs,92,2011,12.1,7.2,16.8,15.7,13.8,8.2,19.2,19.6,15.4,11.2,19.8,101.9,14.7,10.8,18.9,34.3,16.8,12.8,21.7,79.2,15.2,11.0,19.5,30.3
Egon Muller Scharzhofberger Riesling Auslese,93,2011,12.1,7.2,16.8,15.7,13.8,8.2,19.2,19.6,15.4,11.2,19.8,101.9,14.7,10.8,18.9,34.3,16.8,12.8,21.7,79.2,15.2,11.0,19.5,30.3
F E Trimbach Riesling Cuvee Frederic Emile,92,2011,12.1,7.2,16.8,15.7,13.8,8.2,19.2,19.6,15.4,11.2,19.8,101.9,14.7,10.8,18.9,34.3,16.8,12.8,21.7,79.2,15.2,11.0,19.5,30.3
Weingut Keller Westhofener Kirchspiel Riesling Grosses Gewachs,92,2011,12.1,7.2,16.8,15.7,13.8,8.2,19.2,19.6,15.4,11.2,19.8,101.9,14.7,10.8,18.9,34.3,16.8,12.8,21.7,79.2,15.2,11.0,19.5,30.3
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Auslese Goldkapsel,93,2011,12.1,7.2,16.8,15.7,13.8,8.2,19.2,19.6,15.4,11.2,19.8,101.9,14.7,10.8,18.9,34.3,16.8,12.8,21.7,79.2,15.2,11.0,19.5,30.3
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Spatlese,92,2011,12.1,7.2,16.8,15.7,13.8,8.2,19.2,19.6,15.4,11.2,19.8,101.9,14.7,10.8,18.9,34.3,16.8,12.8,21.7,79.2,15.2,11.0,19.5,30.3
Georg Breuer Rudesheimer Berg Schlossberg Riesling,92,2011,12.1,7.2,16.8,15.7,13.8,8.2,19.2,19.6,15.4,11.2,19.8,101.9,14.7,10.8,18.9,34.3,16.8,12.8,21.7,79.2,15.2,11.0,19.5,30.3
Domaine Zind-Humbrecht Riesling Rangen de Thann Clos Saint Urbain,94,2011,12.1,7.2,16.8,15.7,13.8,8.2,19.2,19.6,15.4,11.2,19.8,101.9,14.7,10.8,18.9,34.3,16.8,12.8,21.7,79.2,15.2,11.0,19.5,30.3
Weingut Donnhoff Niederhauser Hermannshohle Riesling Spatlese,92,2011,12.1,7.2,16.8,15.7,13.8,8.2,19.2,19.6,15.4,11.2,19.8,101.9,14.7,10.8,18.9,34.3,16.8,12.8,21.7,79.2,15.2,11.0,19.5,30.3
Weingut Donnhoff Niederhauser Hermannshohle Riesling Auslese Goldkapsel,94,2011,12.1,7.2,16.8,15.7,13.8,8.2,19.2,19.6,15.4,11.2,19.8,101.9,14.7,10.8,18.9,34.3,16.8,12.8,21.7,79.2,15.2,11.0,19.5,30.3
Weingut Keller Westhofener Morstein Riesling Grosses Gewachs,93,2011,12.1,7.2,16.8,15.7,13.8,8.2,19.2,19.6,15.4,11.2,19.8,101.9,14.7,10.8,18.9,34.3,16.8,12.8,21.7,79.2,15.2,11.0,19.5,30.3
Pewsey Vale Dry Riesling,90,2011,12.1,7.2,16.8,15.7,13.8,8.2,19.2,19.6,15.4,11.2,19.8,101.9,14.7,10.8,18.9,34.3,16.8,12.8,21.7,79.2,15.2,11.0,19.5,30.3
Markus Molitor Wehlener Sonnenuhr Riesling Auslese,97,2011,12.1,7.2,16.8,15.7,13.8,8.2,19.2,19.6,15.4,11.2,19.8,101.9,14.7,10.8,18.9,34.3,16.8,12.8,21.7,79.2,15.2,11.0,19.5,30.3
Domaine Weinbach Riesling Schlossberg,92,2011,12.1,7.2,16.8,15.7,13.8,8.2,19.2,19.6,15.4,11.2,19.8,101.9,14.7,10.8,18.9,34.3,16.8,12.8,21.7,79.2,15.2,11.0,19.5,30.3
Joh. Jos. Prum Graacher Himmelreich Riesling Auslese Goldkapsel,92,2011,12.1,7.2,16.8,15.7,13.8,8.2,19.2,19.6,15.4,11.2,19.8,101.9,14.7,10.8,18.9,34.3,16.8,12.8,21.7,79.2,15.2,11.0,19.5,30.3
Joh. Jos. Prum Graacher Himmelreich Riesling Spatlese,91,2011,12.1,7.2,16.8,15.7,13.8,8.2,19.2,19.6,15.4,11.2,19.8,101.9,14.7,10.8,18.9,34.3,16.8,12.8,21.7,79.2,15.2,11.0,19.5,30.3
Joh. Jos. Prum Graacher Himmelreich Riesling Auslese,92,2011,12.1,7.2,16.8,15.7,13.8,8.2,19.2,19.6,15.4,11.2,19.8,101.9,14.7,10.8,18.9,34.3,16.8,12.8,21.7,79.2,15.2,11.0,19.5,30.3
Weingut Donnhoff Oberhauser Brucke Riesling Eiswein,95,2011,12.1,7.2,16.8,15.7,13.8,8.2,19.2,19.6,15.4,11.2,19.8,101.9,14.7,10.8,18.9,34.3,16.8,12.8,21.7,79.2,15.2,11.0,19.5,30.3
Schloss Vollrads Riesling,89,2011,12.1,7.2,16.8,15.7,13.8,8.2,19.2,19.6,15.4,11.2,19.8,101.9,14.7,10.8,18.9,34.3,16.8,12.8,21.7,79.2,15.2,11.0,19.5,30.3
