Wines,Points,Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Dr. Loosen Urziger Wurzgarten Riesling Auslese Goldkapsel,96,2001,5.9,2.4,9.8,59.4,13.6,9.1,18.3,7.8,13.4,9.0,18.3,40.7,17.4,13.1,22.1,51.5,17.8,13.5,22.4,36.3,10.3,7.6,13.5,59.8
Kuentz-Bas Riesling Pfersigberg Trois Chateaux,91,2001,5.9,2.4,9.8,59.4,13.6,9.1,18.3,7.8,13.4,9.0,18.3,40.7,17.4,13.1,22.1,51.5,17.8,13.5,22.4,36.3,10.3,7.6,13.5,59.8
Muller-Catoir Mussbacher Eselshaut Riesling Auslese,93,2001,5.9,2.4,9.8,59.4,13.6,9.1,18.3,7.8,13.4,9.0,18.3,40.7,17.4,13.1,22.1,51.5,17.8,13.5,22.4,36.3,10.3,7.6,13.5,59.8
Lucien Albrecht Riesling Clos Himmelreich,87,2001,5.9,2.4,9.8,59.4,13.6,9.1,18.3,7.8,13.4,9.0,18.3,40.7,17.4,13.1,22.1,51.5,17.8,13.5,22.4,36.3,10.3,7.6,13.5,59.8
Lucien Albrecht Riesling Clos Schild Pfingstberg,89,2001,5.9,2.4,9.8,59.4,13.6,9.1,18.3,7.8,13.4,9.0,18.3,40.7,17.4,13.1,22.1,51.5,17.8,13.5,22.4,36.3,10.3,7.6,13.5,59.8
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Auslese,92,2003,7.9,3.0,12.6,33.0,12.6,8.6,17.0,88.0,18.4,13.2,23.8,61.0,18.0,13.7,23.8,39.0,20.8,15.3,26.6,35.0,13.8,9.5,18.8,56.0
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Auslese Goldkapsel,93,2003,7.9,3.0,12.6,33.0,12.6,8.6,17.0,88.0,18.4,13.2,23.8,61.0,18.0,13.7,23.8,39.0,20.8,15.3,26.6,35.0,13.8,9.5,18.8,56.0
Weingut Donnhoff Niederhauser Hermannshohle Riesling Auslese Goldkapsel,95,2003,7.9,3.0,12.6,33.0,12.6,8.6,17.0,88.0,18.4,13.2,23.8,61.0,18.0,13.7,23.8,39.0,20.8,15.3,26.6,35.0,13.8,9.5,18.8,56.0
Joh. Jos. Prum Graacher Himmelreich Riesling Auslese Goldkapsel,94,2003,7.9,3.0,12.6,33.0,12.6,8.6,17.0,88.0,18.4,13.2,23.8,61.0,18.0,13.7,23.8,39.0,20.8,15.3,26.6,35.0,13.8,9.5,18.8,56.0
Dr. Loosen Erdener Pralat Riesling Auslese Goldkapsel,95,2003,7.9,3.0,12.6,33.0,12.6,8.6,17.0,88.0,18.4,13.2,23.8,61.0,18.0,13.7,23.8,39.0,20.8,15.3,26.6,35.0,13.8,9.5,18.8,56.0
Georg Breuer Rudesheimer Berg Schlossberg Riesling Auslese Goldkapsel,98,2003,7.9,3.0,12.6,33.0,12.6,8.6,17.0,88.0,18.4,13.2,23.8,61.0,18.0,13.7,23.8,39.0,20.8,15.3,26.6,35.0,13.8,9.5,18.8,56.0
Georg Breuer Rudesheimer Berg Schlossberg Riesling Trockenbeerenauslese,95,2003,7.9,3.0,12.6,33.0,12.6,8.6,17.0,88.0,18.4,13.2,23.8,61.0,18.0,13.7,23.8,39.0,20.8,15.3,26.6,35.0,13.8,9.5,18.8,56.0
Georg Breuer Rauenthal Nonnenberg Riesling Auslese,93,2003,7.9,3.0,12.6,33.0,12.6,8.6,17.0,88.0,18.4,13.2,23.8,61.0,18.0,13.7,23.8,39.0,20.8,15.3,26.6,35.0,13.8,9.5,18.8,56.0
Weingut Emrich-Schonleber Monzinger Halenberg Riesling Trockenbeerenauslese,95,2003,7.9,3.0,12.6,33.0,12.6,8.6,17.0,88.0,18.4,13.2,23.8,61.0,18.0,13.7,23.8,39.0,20.8,15.3,26.6,35.0,13.8,9.5,18.8,56.0
Weingut Weinrieder Schneiderberg Riesling Eiswein,93,2003,7.9,3.0,12.6,33.0,12.6,8.6,17.0,88.0,18.4,13.2,23.8,61.0,18.0,13.7,23.8,39.0,20.8,15.3,26.6,35.0,13.8,9.5,18.8,56.0
Egon Muller Scharzhofberger Riesling Auslese,93,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
F E Trimbach Riesling Cuvee Frederic Emile,92,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Domaine Zind-Humbrecht Riesling Rangen de Thann Clos Saint Urbain,92,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
F E Trimbach Riesling,86,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Weingut Donnhoff Niederhauser Hermannshohle Riesling Spatlese,93,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Joh. Jos. Prum Graacher Himmelreich Riesling Auslese,92,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Weingut Donnhoff Oberhauser Brucke Riesling Auslese,94,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Weinlaubenhof Alois Kracher Kollektion Welschriesling Trockenbeerenauslese,94,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Weingut Robert Weil Kiedricher Grafenberg Riesling Trockenbeerenauslese,97,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Weingut Willi Schaefer Graacher Domprobst Riesling Auslese,90,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Selbach-Oster Zeltinger Sonnenuhr Riesling Auslese,92,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Weingut Robert Weil Kiedricher Grafenberg Riesling Beerenauslese,94,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Gunderloch Nackenheimer Rothenberg Riesling Grosses Gewachs,88,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Domaine Zind-Humbrecht Riesling Heimbourg,91,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Josmeyer Riesling Brand,91,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Weingut Robert Weil Kiedricher Grafenberg Riesling Eiswein,93,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Weinguter Wegeler Bernkasteler Doctor Riesling Spatlese,90,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Gustave Lorentz Riesling Altenberg de Bergheim,88,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Gunderloch Nackenheimer Rothenberg Riesling Trockenbeerenauslese,96,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
