Wines,Points,Year
Joh. Jos. Prum Graacher Himmelreich Riesling Auslese,92,2011 
Weingut Donnhoff Oberhauser Brucke Riesling Eiswein,95,2011 
Schloss Vollrads Riesling,89,2011 
Chateau Ste. Michelle & Dr. Loosen 'Eroica' Riesling,89,2011 
Weingut Brundlmayer Zobinger Heiligenstein Alte Reben Reserve Riesling,93,2011 
Weingut Keller Nierstein Hipping Riesling Grosses Gewachs,93,2011 
Weingut Donnhoff Oberhauser Brucke Riesling Spatlese,93,2011 
Wwe Dr. H. Thanisch Bernkasteler Doctor Riesling Kabinett,89,2011 
Albert Boxler Riesling Sommerberg,92,2011 
Weingut Prager Klaus Riesling Smaragd,92,2011 
Hugel & Fils Riesling 'Grossi Laue',92,2011 
F E Trimbach Riesling Geisberg,91,2011 
Hugel & Fils Riesling,88,2011 
Weingut Leo Alzinger Loibner Steinertal Riesling Smaragd,94,2011 
Domaines Schlumberger Riesling Saering,91,2011 
Forstmeister Geltz-Zilliken Saarburger Rausch Riesling Auslese,94,2011 
Charles Smith Wines 'Kung Fu Girl' Riesling,89,2011 
Weingut Emmerich Knoll Ried Loibenberg Riesling Smaragd,91,2011 
Weingut Prager Wachstum Bodenstein Riesling Smaragd,93,2011 
Weingut Robert Weil Kiedricher Grafenberg Riesling Trockenbeerenauslese,94,2011 
Schloss Lieser-Thomas Haag Lieserer Niederberg Helden Riesling Grosses Gewachs,91,2011 
Hugel & Fils Riesling Schoelhammer,90,2011 
Fritz Haag Brauneberger Juffer Riesling Grosses Gewachs,91,2011 
Weingut Willi Schaefer Graacher Domprobst Riesling Spatlese,91,2011 
Weingut St. Urbans-Hof Nik Weis Selection 'Urban Riesling',87,2011 
Albert Boxler Riesling Brand,92,2011 
Domaine Andre Kientzler Riesling Geisberg,93,2011 
Joh. Jos. Prum Zeltinger Sonnenuhr Riesling Auslese,93,2012 
Weingut Turk Kremser Wachtberg Riesling Erste Lage,89,2012 
F E Trimbach Riesling Clos Sainte Hune,95,2014 
Egon Muller Scharzhofberger Riesling Kabinett,91,2014 
Weingut Keller G-Max Riesling Trocken,95,2014 
