Wines,Points,Year
Weingut Willi Schaefer Graacher Domprobst Riesling Spatlese 5,94 ,2015 
Chateau Ste. Michelle & Dr. Loosen 'Eroica' Riesling,90 ,2015 
Weingut Willi Schaefer Graacher Domprobst Riesling Kabinett,91 ,2015 
Schloss Gobelsburg Heiligenstein Riesling Reserve Erste OTW Lage,93 ,2015 
Weingut Brundlmayer Zobinger Heiligenstein Alte Reben Reserve Riesling,93 ,2015 
Maximin Grunhauser Abtsberg Riesling Spatlese,93 ,2015 
Weingut Keller Nierstein Hipping Riesling Grosses Gewachs,95 ,2015 
Von Winning Ungeheuer Riesling Grosses Gewachs,91 ,2015 
Weingut Donnhoff Oberhauser Brucke Riesling Auslese,93 ,2015 
Weingut Donnhoff Oberhauser Brucke Riesling Spatlese,92 ,2015 
Markus Molitor Zeltinger Sonnenuhr Riesling Beerenauslese,98 ,2015 
Egon Muller 'Le Gallais' Wiltinger Braune Kupp Riesling Auslese,95 ,2015 
Wwe Dr. H. Thanisch Bernkasteler Doctor Riesling Kabinett,91 ,2015 
Dr. Burklin-Wolf Ruppertsberger Gaisbohl G.C. Riesling,91 ,2015 
F E Trimbach Riesling Clos Sainte Hune,94 ,2016 
Egon Muller Scharzhofberger Riesling Kabinett,92 ,2016 
Weingut Keller G-Max Riesling Trocken,96 ,2016 
Weingut Keller Westhofener Brunnenhauschen Abts Erde Riesling Grosses Gewachs,94 ,2016 
Egon Muller Scharzhofberger Riesling Spatlese,94 ,2016 
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Auslese,93 ,2016 
Weingut Keller Dalsheimer Hubacker Riesling Grosses Gewachs,94 ,2016 
F E Trimbach Riesling Cuvee Frederic Emile,0,2016 
Weingut Donnhoff Niederhauser Hermannshohle Riesling Grosses Gewachs,95 ,2016 
Weingut Keller Westhofener Kirchspiel Riesling Grosses Gewachs,93 ,2016 
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Auslese Goldkapsel,94 ,2016 
Loosen Bros Dr. L Riesling,87 ,2016 
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Spatlese,92 ,2016 
Georg Breuer Rudesheimer Berg Schlossberg Riesling,94 ,2016 
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Kabinett,91 ,2016 
Markus Molitor Zeltinger Sonnenuhr Riesling Auslese,94 ,2016 
Egon Muller 'Scharzhof' Riesling,90 ,2016 
Chateau Ste. Michelle Riesling,87 ,2016 
F.X. Pichler Durnsteiner Kellerberg Riesling Smaragd,95 ,2016 
Schloss Johannisberg Grunlack Riesling Spatlese,90 ,2016 
F E Trimbach Riesling,89 ,2016 
Joh. Jos. Prum Graacher Himmelreich Riesling Kabinett,91 ,2016 
Weingut Donnhoff Niederhauser Hermannshohle Riesling Spatlese,93 ,2016 
Inniskillin Riesling Icewine,0,2016 
Weingut Donnhoff Niederhauser Hermannshohle Riesling Auslese Goldkapsel,93 ,2016 
Black Tower Riesling,0,2016 
Fritz Haag Brauneberger Juffer Sonnenuhr Riesling Auslese,93 ,2016 
Domaine Zind-Humbrecht Riesling Brand,93 ,2016 
Weingut Keller Westhofener Morstein Riesling Grosses Gewachs,95 ,2016 
Pewsey Vale Dry Riesling,91 ,2016 
