Wines,Points,Year
Chateau Pichon-Longueville au Baron de Pichon-Longueville,95 ,2009 
Chateau La Mission Haut-Brion,96 ,2009 
Chateau Angelus,95 ,2009 
Chateau Leoville Barton,94 ,2009 
Chateau Figeac,95 ,2009 
Chateau Pavie,94 ,2009 
Chateau Talbot,92 ,2009 
Chateau Smith Haut Lafitte,94 ,2009 
Chateau Calon-Segur,94 ,2009 
Chateau Lafleur,97 ,2009 
Chateau Lascombes,92 ,2009 
Chateau Pape Clement,94 ,2009 
Chateau Ausone,97 ,2009 
Vieux Chateau Certan,96 ,2009 
Chateau Canon,93 ,2009 
Chateau Gruaud-Larose,93 ,2009 
Chateau Branaire-Ducru,93 ,2009 
Chateau Rauzan-Segla,93 ,2009 
Chateau Giscours,92 ,2009 
Chateau Beychevelle,92 ,2009 
Chateau Grand-Puy-Lacoste,94 ,2009 
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,2009 
Chateau Duhart-Milon,92 ,2009 
Chateau Troplong Mondot,94 ,2009 
Le Pin,96 ,2009 
Chateau La Fleur-Petrus,94 ,2009 
Domaine de Chevalier,93 ,2009 
Chateau La Conseillante,95 ,2009 
Chateau Lagrange,92 ,2009 
Baron Philippe de Rothschild Chateau d'Armailhac,92 ,2009 
Chateau Latour 'Les Forts de Latour',93 ,2009 
Chateau Brane-Cantenac,92 ,2009 
Chateau Cantemerle,90 ,2009 
Chateau Mouton Rothschild,97 ,2010 
Chateau Lafite Rothschild,97 ,2010 
Petrus,97 ,2010 
Chateau Margaux,97 ,2010 
Chateau Latour,98 ,2010 
Chateau Haut-Brion,97 ,2010 
Chateau d'Yquem,96 ,2010 
Chateau Pontet-Canet,96 ,2010 
Chateau Lynch-Bages,94 ,2010 
Chateau Cheval Blanc,97 ,2010 
Chateau Pichon Longueville Comtesse de Lalande,94 ,2010 
Chateau Cos d'Estournel,96 ,2010 
Chateau Leoville-Las Cases 'Grand Vin de Leoville',96 ,2010 
Chateau Montrose,96 ,2010 
Chateau Palmer,96 ,2010 
Chateau Ducru-Beaucaillou,96 ,2010 
Chateau Leoville Poyferre,95 ,2010 
Chateau Pichon-Longueville au Baron de Pichon-Longueville,96 ,2010 
Chateau La Mission Haut-Brion,97 ,2010 
Chateau Angelus,95 ,2010 
Chateau Leoville Barton,94 ,2010 
Chateau Figeac,95 ,2010 
Chateau Pavie,95 ,2010 
Chateau Talbot,91 ,2010 
Chateau Smith Haut Lafitte,94 ,2010 
Chateau Calon-Segur,93 ,2010 
Chateau Lafleur,97 ,2010 
Chateau Lascombes,92 ,2010 
Chateau Pape Clement,94 ,2010 
Chateau Ausone,97 ,2010 
Vieux Chateau Certan,96 ,2010 
Chateau Canon,93 ,2010 
Chateau Gruaud-Larose,92 ,2010 
Chateau Branaire-Ducru,93 ,2010 
Chateau Rauzan-Segla,94 ,2010 
Chateau Giscours,92 ,2010 
Chateau Beychevelle,92 ,2010 
