,Wines,Points
124,2019 Chateau Palmer Alter Ego de Palmer,93 
125,2019 Chateau Pichon Longueville Comtesse de Lalande 'Pichon Comtesse Reserve',91 
126,2019 Chateau Chasse-Spleen,90 
127,2019 Chateau d'Yquem 'Y' Ygrec,94 
128,2019 Chateau Langoa-Barton,92 
129,2019 Le Petit Mouton de Mouton Rothschild,93 
130,2019 Chateau Haut-Batailley,93 
131,2019 Chateau Montrose La Dame de Montrose,92 
132,2019 Domaine de Chevalier Blanc,94 
133,2019 Chateau Laroque,93 
134,2019 Chateau Potensac,91 
135,2019 Echo de Lynch Bages Chateau Haut-Bages Averous,92 
136,2019 Chateau le Puy Cuvee Emilien,0
137,2019 Chateau Calon-Segur Marquis de Calon,91 
138,2019 Chateau Carbonnieux Blanc,91 
139,2019 Chateau La Pointe,90 
140,2019 Chateau Latour-Martillac Blanc,91 
141,2019 Chateau La Grave a Pomerol Trigant de Boisset,91 
142,2019 Chateau Puygueraud,90 
143,2019 Chateau du Glana,91 
144,2019 Chateau Siaurac,89 
145,2019 Chateau Martet Reserve de Famille,90 
146,2019 Chateau de la Dauphine,91 
147,2019 Chateau Guiraud 'Le G de Chateau Guiraud' Blanc Sec,88 
148,2019 Chateau Picque Caillou,88 
149,2019 Chateau Coutet,90 
150,2019 Cap Royal Bordeaux Superieur,88 
151,2019 Chateau Peybonhomme Les Tours,92 
152,2019 Chateau Climens 'Asphodele' Grand Vin Blanc Sec,91 
153,2019 Dourthe No. 1,89 
154,2019 Chateau Brown Blanc,88 
155,2019 Domaine de Chevalier L'Esprit de Chevalier Blanc,90 
156,2019 Clarendelle Blanc,0
157,2019 Chateau Bourdieu No. 1,89 
158,2019 Chateau Rocher-Gardat,88 
159,2019 Chateau Jean Faux,89 
160,2019 Chateau Haut Selve,90 
161,2020 Chateau Carbonnieux,91 
162,2020 Chateau Guiraud 'Le G de Chateau Guiraud' Blanc Sec,88 
163,2020 Chateau Brane-Cantenac Blanc,92 
164,2020 Vignobles Andre Lurton Chateau Bonnet Blanc,87 
165,2020 Chateau Les Charmes-Godard Blanc,90 
166,2020 Grand Bateau Blanc,0
167,2020 Chateau Dudon,0
168,2020 Chateau Latour-Martillac 'Lagrave-Martillac' Blanc,0
169,2020 Chateau Couronneau,0
170,2020 Chateau de Cranne,0
171,2020 Chateau Pontet Bayard,89 
172,2020 Chateau Couronneau Blanc,90 
173,2020 Dourthe Le Cardinal,0
174,2020 Chateau des Annereaux 'Les Annereaux',0
175,2020 Les Oiseaux de Chantegrive La Purete,0
176,2020 Chateau Ferran Saint Pierre,0
177,2020 Chateau Ferran Saint Pierre Tucaou Blanc,0
178,2021 Vignobles Andre Lurton Chateau Bonnet Blanc,0
179,2021 Chateau Haut Peyruguet,0
180,2021 Dourthe No. 1 Blanc,88 
181,2021 Domaine de Chevalier Le Rose de Chevalier,0
182,2021 Chateau Lamothe-Vincent Blanc,0
183,2021 Chateau de l'Aubrade Entre-deux-Mers Blanc,86 
184,2021 Chateau Montfollet Le Valentin Blanc,0
185,2021 Vignobles Andre Lurton Chateau Bonnet Rose,89 
