Name,Rating,Region,Year
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",2003
Chateau Mouton Rothschild,96 ,"Pauillac, France",2004
Chateau Lafite Rothschild,95 ,"Pauillac, France",2004
Chateau Latour,96 ,"Pauillac, France",2004
Chateau Pontet-Canet,95 ,"Pauillac, France",2004
Chateau Lynch-Bages,93 ,"Pauillac, France",2004
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",2004
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",2004
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",2004
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",2004
Chateau Duhart-Milon,91 ,"Pauillac, France",2004
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",2004
2005 Chateau Mouton Rothschild,96 ,"Pauillac, France",2005
2005 Chateau Lafite Rothschild,95 ,"Pauillac, France",2005
2005 Chateau Latour,97 ,"Pauillac, France",2005
2005 Chateau Lynch-Bages,93 ,"Pauillac, France",2005
2005 Chateau Pichon Longueville Comtesse de Lalande,93 ,"Pauillac, France",2005
2005 Chateau Grand-Puy-Lacoste,93 ,"Pauillac, France",2005
2005 Chateau Lafite Rothschild 'Carruades de Lafite',90 ,"Pauillac, France",2005
2005 Baron Philippe de Rothschild Chateau d'Armailhac,90 ,"Pauillac, France",2005
2005 Chateau Latour 'Les Forts de Latour',92 ,"Pauillac, France",2005
2005 Chateau Grand-Puy Ducasse,89 ,"Pauillac, France",2005
2005 Chateau Mouton-Rothschild Vertical Collection,0,"Pauillac, France",2005
2005 Chateau La Fleur Peyrabon,88 ,"Pauillac, France",2005
Chateau Mouton Rothschild,96 ,"Pauillac, France",2005
Chateau Lafite Rothschild,95 ,"Pauillac, France",2005
Chateau Latour,96 ,"Pauillac, France",2005
Chateau Pontet-Canet,95 ,"Pauillac, France",2005
Chateau Lynch-Bages,93 ,"Pauillac, France",2005
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",2005
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",2005
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",2005
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",2005
Chateau Duhart-Milon,91 ,"Pauillac, France",2005
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",2005
2006 Chateau Mouton Rothschild,94 ,"Pauillac, France",2006
2006 Chateau Lafite Rothschild,94 ,"Pauillac, France",2006
2006 Chateau Latour,94 ,"Pauillac, France",2006
2006 Chateau Pontet-Canet,93 ,"Pauillac, France",2006
2006 Chateau Lynch-Bages,91 ,"Pauillac, France",2006
2006 Chateau Pichon Longueville Comtesse de Lalande,92 ,"Pauillac, France",2006
2006 Chateau Pichon-Longueville au Baron de Pichon-Longueville,92 ,"Pauillac, France",2006
2006 Chateau Grand-Puy-Lacoste,91 ,"Pauillac, France",2006
2006 Chateau Lafite Rothschild 'Carruades de Lafite',89 ,"Pauillac, France",2006
2006 Chateau Duhart-Milon,89 ,"Pauillac, France",2006
2006 Baron Philippe de Rothschild Chateau d'Armailhac,89 ,"Pauillac, France",2006
2006 Chateau Latour 'Les Forts de Latour',90 ,"Pauillac, France",2006
2006 Chateau Clerc-Milon,90 ,"Pauillac, France",2006
2006 Chateau Batailley Grand Cru,89 ,"Pauillac, France",2006
2006 Le Petit Mouton de Mouton Rothschild,90 ,"Pauillac, France",2006
2006 Chateau Lynch-Moussas,88 ,"Pauillac, France",2006
2006 Chateau Haut-Batailley,89 ,"Pauillac, France",2006
2006 Chateau Haut-Bages Liberal,89 ,"Pauillac, France",2006
2006 Chateau Grand-Puy Ducasse,88 ,"Pauillac, France",2006
2006 Echo de Lynch Bages Chateau Haut-Bages Averous,88 ,"Pauillac, France",2006
2006 Chateau Grand-Puy-Lacoste 'Lacoste-Borie',89 ,"Pauillac, France",2006
2006 Chateau Croizet-Bages,86 ,"Pauillac, France",2006
